task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	99/48c1c0	12104991	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-17 10:52:11.529	1m 9s	17s	23.6%	2.6 GB	3 GB	31.6 MB	803.5 KB
3	30/860d20	12105020	preprocessing (preprocessing)	COMPLETED	0	2026-04-17 10:53:21.593	2m 4s	1m 5s	9.5%	284.6 MB	480.4 MB	526.2 MB	696.2 KB
4	7b/5ed088	12105139	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-17 10:55:25.441	1m 10s	4.4s	78.8%	144.5 MB	1.3 GB	20.7 MB	234.1 KB
5	a1/134d19	12105294	postprocessing (postprocessing)	COMPLETED	0	2026-04-17 10:56:35.566	37.1s	6s	14.5%	120.3 MB	301.4 MB	28.9 MB	319.1 KB
6	ee/3ff6e8	12105346	curation (curation)	COMPLETED	0	2026-04-17 10:57:13.606	1m 7s	19.8s	6.7%	56.3 MB	379.6 MB	26.9 MB	253 KB
2	3d/22f9f2	12105019	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-17 10:53:21.481	5m 24s	4m 54s	746.2%	8.5 GB	46.5 GB	10.9 GB	186 MB
7	bb/6aa397	12105381	visualization (visualization)	COMPLETED	0	2026-04-17 10:58:22.318	1m 8s	34.9s	24.0%	3.4 GB	6.8 GB	429 MB	1.3 MB
8	35/98fdbb	12105433	results_collector (result-collector)	COMPLETED	0	2026-04-17 10:59:31.959	43.6s	4.9s	38.7%	122.3 MB	454.5 MB	36.6 MB	1.2 MB
9	d4/82d1d0	12105497	nwb_units (nwb-units)	FAILED	0	2026-04-17 11:00:15.940	39.6s	5.5s	39.9%	180.7 MB	585.4 MB	40.3 MB	525.2 KB
10	6d/742fb0	12105496	quality_control (quality-control)	ABORTED	-	2026-04-17 11:00:15.836	-	-	-	-	-	-	-
