task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b5/733a28	10646752	job_dispatch (job-dispatch)	COMPLETED	0	2026-03-18 13:26:43.497	2m 4s	52.7s	4.5%	3.1 GB	3.7 GB	18.3 MB	777.2 KB
2	25/0ffe50	10647008	preprocessing (preprocessing)	COMPLETED	0	2026-03-18 13:28:48.119	5m 34s	4m 55s	17.2%	1.6 GB	1.8 GB	3.9 GB	1.6 MB
4	5f/7841e1	10647085	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-03-18 13:34:41.938	3m 1s	1m 3s	6.2%	142.6 MB	1.3 GB	19.3 MB	222.1 KB
5	cf/4cf284	10647365	postprocessing (postprocessing)	COMPLETED	0	2026-03-18 13:37:43.475	1m 35s	28.3s	5.9%	122.5 MB	274 MB	17.7 MB	307.3 KB
6	91/0de1eb	10647392	curation (curation)	COMPLETED	0	2026-03-18 13:39:18.184	2m 10s	38.9s	5.7%	154.5 MB	554.5 MB	26 MB	250 KB
7	b6/1d3fec	10647491	visualization (visualization)	COMPLETED	0	2026-03-18 13:41:28.418	15m 35s	12m 36s	317.2%	194.4 GB	1.6 TB	27.5 GB	19.1 MB
8	b8/9310fc	10647933	results_collector (result-collector)	COMPLETED	0	2026-03-18 13:57:04.742	2m 3s	39s	9.1%	188.8 MB	1.3 GB	22.9 MB	2.5 MB
3	bf/36d28e	10647009	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-03-18 13:28:51.304	30m 27s	29m 24s	477.1%	111 GB	971.9 GB	349 GB	904.2 MB
10	9c/6a7a35	10647964	nwb_units (nwb-units)	FAILED	0	2026-03-18 13:59:18.291	2m 5s	58.3s	4.1%	161.3 MB	1.3 GB	27.6 MB	521.8 KB
9	ef/dbfe8f	10647959	quality_control (quality-control)	ABORTED	-	2026-03-18 13:59:09.101	-	-	-	-	-	-	-
