task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	49/5d677c	12108506	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-17 12:01:52.143	2m 3s	43.6s	4.2%	82.2 MB	408.1 MB	29.9 MB	589.8 KB
2	86/47f12d	12108553	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-17 12:03:55.964	3m 4s	1m 57s	228.1%	4.6 GB	42.7 GB	19.2 GB	57.4 MB
3	52/c00284	12108552	preprocessing (preprocessing)	COMPLETED	0	2026-04-17 12:03:55.813	4m 39s	3m 30s	331.8%	5 GB	41.4 GB	14.5 GB	1.6 GB
4	a6/997f9d	12108720	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-17 12:08:35.307	6m 5s	3m 31s	297.7%	3.4 GB	19.3 GB	97.2 MB	217.1 MB
5	c5/52d9b5	12109008	postprocessing (postprocessing)	COMPLETED	0	2026-04-17 12:14:40.283	2m 5s	1m 36s	101.8%	9.4 GB	51.8 GB	264.4 MB	215.8 MB
6	dd/8d7257	12109050	curation (curation)	COMPLETED	0	2026-04-17 12:16:45.344	34.7s	14.5s	34.7%	434.2 MB	1.7 GB	159.6 MB	262.3 KB
7	04/131fe9	12109086	visualization (visualization)	COMPLETED	0	2026-04-17 12:17:20.255	2m 35s	1m 57s	17.0%	2.5 GB	3.5 GB	1.2 GB	4.8 MB
8	1a/c094a7	12109165	results_collector (result-collector)	COMPLETED	0	2026-04-17 12:19:55.440	2m 35s	1m 12s	5.0%	337.1 MB	987.9 MB	158.3 MB	120.1 MB
9	20/6dc41b	12109246	quality_control (quality-control)	FAILED	255	2026-04-17 12:22:30.420	34.7s	46ms	-	-	-	-	-
10	54/cf1fff	12109247	nwb_units (nwb-units)	ABORTED	-	2026-04-17 12:22:30.713	-	-	-	-	-	-	-
