task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f1/a44d72	12139011	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-17 21:52:55.025	1m 16s	39.6s	5.2%	78.1 MB	403.5 MB	29.9 MB	589.8 KB
2	45/12d34b	12139071	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-17 21:54:11.512	1m 40s	1m 24s	353.9%	4.6 GB	42.7 GB	18.3 GB	58.1 MB
3	cd/1e9a97	12139072	preprocessing (preprocessing)	COMPLETED	0	2026-04-17 21:54:11.622	3m 26s	2m 15s	488.8%	14.6 GB	124.1 GB	13.8 GB	1.5 GB
4	57/0fed70	12139312	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-17 21:57:39.520	3m 32s	2m 41s	483.9%	3.3 GB	20.7 GB	103.1 MB	265.9 MB
5	b3/2253b9	12139497	postprocessing (postprocessing)	COMPLETED	0	2026-04-17 22:01:12.897	1m 37s	1m 27s	138.0%	10.3 GB	52.6 GB	311.8 MB	283 MB
6	f1/b19906	12139599	curation (curation)	COMPLETED	0	2026-04-17 22:02:51.873	1m 17s	44s	11.5%	501.4 MB	2 GB	177.8 MB	262.6 KB
7	40/5c7e7d	12139644	visualization (visualization)	COMPLETED	0	2026-04-17 22:04:11.388	1m 16s	54.1s	31.1%	2.6 GB	3.5 GB	1.1 GB	5 MB
8	11/46a521	12139765	results_collector (result-collector)	COMPLETED	0	2026-04-17 22:05:28.441	1m 34s	39.4s	11.7%	262.7 MB	895 MB	193.7 MB	158.6 MB
10	97/93e489	12139834	nwb_units (nwb-units)	COMPLETED	0	2026-04-17 22:07:04.317	53.2s	32.2s	15.0%	315.7 MB	722.5 MB	92 MB	28.4 MB
9	b0/b013c6	12139835	quality_control (quality-control)	COMPLETED	0	2026-04-17 22:07:04.446	1m 8s	46.6s	24.3%	761.9 MB	3.1 GB	1018.6 MB	6.4 MB
11	45/d0fd5b	12139905	quality_control_collector (qc-collector)	COMPLETED	0	2026-04-17 22:08:13.339	14.5s	1.3s	58.7%	50.8 MB	370.9 MB	11.2 MB	3.3 MB
