task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	15/ea8fa7	11285878	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-01 14:26:02.013	3m 34s	10s	26.1%	171.3 MB	507.9 MB	18 MB	619.5 KB
2	2a/043cf9	11285944	preprocessing (preprocessing)	COMPLETED	0	2026-04-01 14:29:36.675	3m 10s	37.4s	753.0%	29.5 GB	277.5 GB	1.3 GB	19.4 MB
3	22/470385	11285943	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-01 14:29:36.552	4m 35s	59.9s	1396.2%	6.1 GB	64.5 GB	7 GB	13.9 MB
4	e6/3098f3	11286004	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-01 14:32:46.436	4m 5s	57.6s	152.0%	2 GB	18.6 GB	69.1 MB	14.6 MB
5	28/cd8034	11286117	postprocessing (postprocessing)	COMPLETED	0	2026-04-01 14:36:51.416	3m 5s	57.3s	303.4%	35.9 GB	247.6 GB	613.7 MB	298 MB
6	e1/e848ea	11286167	curation (curation)	COMPLETED	0	2026-04-01 14:39:56.416	2m 5s	31.6s	21.5%	943.2 MB	5.1 GB	223.5 MB	256.8 KB
7	21/7677fc	11286235	visualization (visualization)	COMPLETED	0	2026-04-01 14:42:01.435	3m 5s	21.1s	44.7%	924.1 MB	1.6 GB	608.7 MB	3.1 MB
8	ce/d107e3	11286383	results_collector (result-collector)	COMPLETED	0	2026-04-01 14:45:06.442	3m 10s	19.9s	22.4%	262 MB	913.3 MB	150 MB	113.8 MB
10	dc/e67bd5	11286438	nwb_units (nwb-units)	COMPLETED	0	2026-04-01 14:48:16.465	3m 5s	19.3s	9.6%	166.2 MB	543.4 MB	39.9 MB	4.4 MB
9	61/692df5	11286439	quality_control (quality-control)	COMPLETED	0	2026-04-01 14:48:16.548	3m 40s	54s	20.3%	625.3 MB	3.2 GB	1.1 GB	5.8 MB
11	18/25e9c6	11286593	quality_control_collector (qc-collector)	COMPLETED	0	2026-04-01 14:51:56.399	2m 30s	4.7s	35.6%	122.8 MB	442.8 MB	10.7 MB	2.7 MB
