task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e1/51cead	9729201	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-26 17:58:40.595	1m 9s	6s	54.8%	4.2 GB	4.6 GB	21.3 MB	2.3 MB
3	3c/43fac3	9729265	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 17:59:50.261	7m 5s	5m 24s	1295.1%	9.8 GB	16.2 GB	216.5 GB	32.9 GB
4	31/9fa3c6	9729266	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 17:59:50.354	12m 24s	5m 24s	1560.4%	9.8 GB	16.2 GB	215.6 GB	33.2 GB
5	e2/eec36c	9729268	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 17:59:50.547	21m 19s	5m 28s	1050.0%	9.9 GB	16.2 GB	216.8 GB	32.9 GB
6	8f/0b7d1a	9729269	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 17:59:50.631	26m 19s	3m 25s	1723.4%	9.9 GB	16.2 GB	215.8 GB	33.2 GB
11	0d/c6b74c	9729454	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 18:06:55.079	20m 20s	18m 33s	556.8%	37.3 GB	58.3 GB	184.7 MB	938.3 MB
8	77/ed7c61	9729270	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 17:59:50.724	34m 59s	5m 7s	1210.6%	9.9 GB	16.2 GB	214.4 GB	33.2 GB
7	49/c0e38a	9729271	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 17:59:50.803	42m 4s	5m 9s	1194.5%	9.9 GB	16.2 GB	212.7 GB	33.2 GB
9	2f/2e2815	9729272	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 17:59:50.881	47m 34s	4m 15s	1561.2%	9.9 GB	16.2 GB	216.2 GB	33.2 GB
10	83/51ce5a	9729273	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 17:59:50.963	53m 9s	2m 59s	2195.1%	9.9 GB	16.2 GB	215.4 GB	33.2 GB
2	10/09dab6	9729267	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-26 17:59:50.450	57m 49s	56m 40s	1376.3%	11.9 GB	50.1 GB	3.3 TB	4.6 GB
13	83/6560ef	9729848	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 18:21:10.078	39m 35s	30m 58s	676.5%	37.3 GB	61.1 GB	181.3 MB	909.1 MB
14	61/272cf2	9729950	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 18:26:09.982	49m 20s	11m 55s	246.4%	36.1 GB	52.1 GB	132.9 MB	509.7 MB
15	8d/3ac43c	9730224	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 18:34:50.075	1h 26m	26m 49s	582.5%	39.6 GB	61 GB	256 MB	1.5 GB
16	fe/894a4a	9730565	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 18:41:55.080	1h 42m 20s	23m 6s	514.5%	37.7 GB	58.4 GB	199.8 MB	1 GB
12	92/cb894b	9729596	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 18:12:14.956	2h 32m 30s	2h 29m 2s	2873.2%	38.2 GB	46.1 GB	185.3 MB	946.9 MB
17	50/783721	9730741	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 18:47:25.070	2h 25m 25s	47m 38s	485.7%	39.7 GB	65.1 GB	250.8 MB	1.4 GB
18	fd/a836ae	9730951	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 18:53:00.074	4h 44m 10s	2h 49m 36s	2713.0%	39.4 GB	47.3 GB	218.2 MB	1.2 GB
21	72/5c821c	9744435	postprocessing (postprocessing)	COMPLETED	0	2026-02-26 23:37:10.838	9m 15s	8m 17s	432.3%	30.7 GB	81.1 GB	1.8 GB	2.1 GB
19	bb/136bd5	9744433	postprocessing (postprocessing)	COMPLETED	0	2026-02-26 23:37:10.633	12m 10s	11m 38s	614.0%	51.4 GB	105.1 GB	3.1 GB	3.5 GB
20	ee/350897	9744434	postprocessing (postprocessing)	COMPLETED	0	2026-02-26 23:37:10.743	12m 15s	11m 3s	560.3%	46.8 GB	100 GB	2.8 GB	3.3 GB
22	73/1bc6de	9744436	postprocessing (postprocessing)	COMPLETED	0	2026-02-26 23:37:10.921	14m 5s	3m 54s	627.9%	25.4 GB	75.4 GB	1.5 GB	1.8 GB
23	f4/ad695c	9744437	postprocessing (postprocessing)	COMPLETED	0	2026-02-26 23:37:11.031	23m 14s	10m 13s	498.3%	41.5 GB	94.7 GB	2.4 GB	2.8 GB
25	03/69fe3c	9744438	postprocessing (postprocessing)	COMPLETED	0	2026-02-26 23:37:11.119	23m 19s	10m 48s	524.2%	57.5 GB	109.9 GB	3 GB	3.5 GB
28	42/e0336d	9745300	curation (curation)	COMPLETED	0	2026-02-26 23:49:20.568	13m 5s	1m 18s	12.7%	2.9 GB	4 GB	630.9 MB	250.5 KB
24	dc/bd27e3	9744439	postprocessing (postprocessing)	COMPLETED	0	2026-02-26 23:37:11.205	25m 19s	11m 36s	652.8%	68.5 GB	123.6 GB	3.9 GB	4.5 GB
27	cb/f25525	9745183	curation (curation)	COMPLETED	0	2026-02-26 23:46:25.593	16m 5s	1m 8s	12.2%	2 GB	3.3 GB	516.1 MB	249.8 KB
29	26/5fa15b	9745301	curation (curation)	COMPLETED	0	2026-02-26 23:49:25.554	13m 5s	1m 19s	12.5%	2.7 GB	3.8 GB	628.2 MB	250.6 KB
30	68/0915ac	9745347	curation (curation)	COMPLETED	0	2026-02-26 23:51:15.610	11m 15s	1m 16s	13.9%	1.9 GB	3.1 GB	428.1 MB	250.3 KB
31	a1/c7c0f8	9745749	curation (curation)	COMPLETED	0	2026-02-27 00:00:25.604	4m 5s	48.8s	19.2%	2.5 GB	3.6 GB	567.6 MB	250.1 KB
32	9b/748fba	9745782	curation (curation)	COMPLETED	0	2026-02-27 00:00:30.544	4m 6s	49.7s	22.0%	2.7 GB	3.9 GB	635.5 MB	250.5 KB
33	80/ac6266	9745886	curation (curation)	COMPLETED	0	2026-02-27 00:02:30.591	3m 10s	1m 1s	21.1%	3.2 GB	4.4 GB	765.8 MB	250.9 KB
26	d7/759849	9744440	postprocessing (postprocessing)	COMPLETED	0	2026-02-26 23:37:11.289	29m 14s	5m 32s	554.6%	60.4 GB	112.9 GB	3.3 GB	3.9 GB
34	33/251610	9746268	curation (curation)	COMPLETED	0	2026-02-27 00:06:25.557	34.9s	22.1s	53.0%	3 GB	4.2 GB	702.4 MB	250.8 KB
35	29/8739ac	9746444	visualization (visualization)	COMPLETED	0	2026-02-27 00:07:01.298	3m 4s	2m 17s	69.2%	10.7 GB	12.1 GB	4.3 GB	6.1 MB
37	64/6f7d92	9746448	visualization (visualization)	COMPLETED	0	2026-02-27 00:07:01.484	3m 4s	2m 3s	63.2%	10.7 GB	11.9 GB	4.3 GB	6 MB
38	fb/d5bbd4	9746446	visualization (visualization)	COMPLETED	0	2026-02-27 00:07:01.403	3m 4s	1m 38s	59.0%	10.5 GB	11.5 GB	4.2 GB	5.5 MB
40	6f/6d402c	9746455	visualization (visualization)	COMPLETED	0	2026-02-27 00:07:02.741	3m 3s	1m 50s	47.9%	10.6 GB	11.8 GB	4.2 GB	5.2 MB
36	d7/7b236c	9746443	visualization (visualization)	COMPLETED	0	2026-02-27 00:07:01.160	3m 44s	2m 41s	58.5%	10.7 GB	11.8 GB	4.2 GB	6 MB
39	96/94e1a1	9746450	visualization (visualization)	COMPLETED	0	2026-02-27 00:07:01.617	5m 9s	4m 3s	57.9%	10.8 GB	12.3 GB	4.2 GB	6 MB
42	1d/00ac03	9746459	visualization (visualization)	FAILED	-	2026-02-27 00:07:02.930	7m 43s	7m 5s	-	-	-	-	-
41	37/b50f4d	9746457	visualization (visualization)	FAILED	-	2026-02-27 00:07:02.825	7m 43s	7m 5s	-	-	-	-	-
