task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	1d/ad3905	8875879	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-06 16:46:18.587	1m 7s	10.7s	10.1%	101.1 MB	439.2 MB	18 MB	508.3 KB
2	1f/acb39d	8875892	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-06 16:47:26.242	1m 34s	37.4s	2619.6%	27.1 GB	359.4 GB	7 GB	13.9 MB
3	a7/a04fb5	8875891	preprocessing (preprocessing)	COMPLETED	0	2026-02-06 16:47:26.095	10m 5s	8m 52s	217.8%	93.7 GB	545.7 GB	11.2 GB	277.1 MB
4	f8/e356fb	8876691	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-06 16:57:31.647	5m 4s	4m 32s	32.7%	2.1 GB	18.6 GB	69.1 MB	14.6 MB
5	ba/a37532	8877357	postprocessing (postprocessing)	COMPLETED	0	2026-02-06 17:02:35.877	3m 35s	2m 22s	94.7%	82.5 GB	575.2 GB	613.7 MB	298.3 MB
6	5f/ce3889	8877733	curation (curation)	COMPLETED	0	2026-02-06 17:06:10.715	5m 35s	4m 19s	3.6%	945.6 MB	5.1 GB	223.7 MB	252 KB
7	ec/20139c	8877820	visualization (visualization)	COMPLETED	0	2026-02-06 17:11:45.929	2m 4s	57.2s	16.1%	923.1 MB	1.6 GB	608.7 MB	3.1 MB
8	10/e2fec5	8877899	results_collector (result-collector)	COMPLETED	0	2026-02-06 17:13:50.846	3m 5s	2m 18s	3.3%	264.2 MB	913.2 MB	150.2 MB	114 MB
9	00/dae36a	8878187	quality_control (quality-control)	COMPLETED	0	2026-02-06 17:16:55.659	2m 5s	1m 25s	13.3%	647.1 MB	3.2 GB	1.1 GB	3.2 MB
11	fa/ccd6eb	8878280	quality_control_collector (qc-collector)	COMPLETED	0	2026-02-06 17:19:01.005	34.4s	2.4s	86.0%	122.9 MB	441.8 MB	10.7 MB	2.7 MB
10	d1/54957a	8878188	nwb_units (nwb-units)	COMPLETED	0	2026-02-06 17:16:55.997	4m 39s	3m 33s	34.0%	192.9 MB	570.5 MB	39.9 MB	4.4 MB
