task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	23/648369	12165226	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-18 11:35:27.428	1m 34s	16.7s	11.6%	48.2 MB	57.6 MB	29.9 MB	589.6 KB
2	01/8cb715	12165242	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-18 11:37:02.361	2m 10s	1m 24s	328.6%	4.4 GB	42.5 GB	18 GB	57.7 MB
3	cc/066400	12165241	preprocessing (preprocessing)	COMPLETED	0	2026-04-18 11:37:02.219	2m 40s	2m 19s	559.5%	13.2 GB	123.7 GB	13.5 GB	1.5 GB
4	77/6a2cdb	12165311	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-18 11:39:42.482	4m 4s	3m 12s	256.7%	3.2 GB	17.9 GB	92.1 MB	175.1 MB
5	e6/700027	12165484	postprocessing (postprocessing)	COMPLETED	0	2026-04-18 11:43:47.332	2m 35s	1m 32s	121.2%	3.4 GB	21 GB	271.2 MB	234.7 MB
6	26/ac6252	12165556	curation (curation)	COMPLETED	0	2026-04-18 11:46:22.414	2m 4s	48.3s	11.6%	435.1 MB	1.5 GB	170.5 MB	262.6 KB
7	aa/5613b2	12165618	visualization (visualization)	COMPLETED	0	2026-04-18 11:48:27.200	1m 35s	16.2s	75.2%	2.6 GB	4 GB	1.1 GB	3.9 MB
8	d4/d3a35c	12165638	results_collector (result-collector)	COMPLETED	0	2026-04-18 11:50:02.315	1m 10s	19.9s	19.4%	234 MB	1.1 GB	154.5 MB	113.6 MB
9	d4/d5d8ae	12165761	nwb_units (nwb-units)	COMPLETED	0	2026-04-18 11:51:12.222	1m 5s	44.3s	7.8%	271.7 MB	890.7 MB	83.3 MB	26 MB
10	72/f0561e	12165762	quality_control (quality-control)	COMPLETED	0	2026-04-18 11:51:12.522	1m 39s	1m 12s	12.7%	753.1 MB	3.3 GB	1003.7 MB	5.3 MB
11	ca/fbf98f	12165798	quality_control_collector (qc-collector)	COMPLETED	0	2026-04-18 11:52:52.051	34.8s	1.3s	65.3%	50.5 MB	370.9 MB	10.1 MB	2.2 MB
