task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e5/26a7ff	11345714	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-03 00:21:37.452	3m 9s	7s	28.4%	3 GB	3.6 GB	19 MB	1.5 MB
2	8c/1d62c9	11345787	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-03 00:24:47.099	12m 5s	8m 32s	1528.2%	56.1 GB	486.6 GB	571 GB	801.6 MB
4	cd/cda967	11345788	preprocessing (preprocessing)	COMPLETED	0	2026-04-03 00:24:47.209	23m	4m 12s	966.3%	105.8 GB	150.6 GB	155 GB	12.9 MB
5	4e/e3a0ef	11345789	preprocessing (preprocessing)	COMPLETED	0	2026-04-03 00:24:47.288	29m 25s	2m 50s	1295.7%	106.1 GB	150.7 GB	116.3 GB	12.9 MB
6	0e/6373ec	11345790	preprocessing (preprocessing)	COMPLETED	0	2026-04-03 00:24:47.371	32m 4s	1m 38s	2754.9%	106.4 GB	151 GB	155.3 GB	12.9 MB
3	73/8276a2	11345791	preprocessing (preprocessing)	COMPLETED	0	2026-04-03 00:24:47.452	36m 39s	1m 35s	2421.5%	105.4 GB	150 GB	116.1 GB	12.9 MB
7	a0/408a6b	11346375	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-03 00:47:47.674	14m 4s	10m 30s	311.7%	29.6 GB	45.3 GB	146.8 MB	642.6 MB
8	ed/f1fe43	11346461	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-03 00:54:12.070	10m 30s	9m 6s	321.3%	29.2 GB	44.9 GB	149.5 MB	666.8 MB
9	3b/f4bbfa	11346505	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-03 00:56:51.927	14m 40s	8m 7s	359.0%	29.2 GB	45 GB	148.6 MB	659 MB
10	c7/3a648f	11346543	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-03 01:01:26.916	14m 10s	7m 57s	377.8%	29.2 GB	45 GB	145.9 MB	635.8 MB
12	23/a6a628	11346855	postprocessing (postprocessing)	COMPLETED	0	2026-04-03 01:15:37.266	16m 12s	13m 13s	665.6%	421.2 GB	1 TB	2.9 GB	2.9 GB
14	26/2549c6	11346854	postprocessing (postprocessing)	COMPLETED	0	2026-04-03 01:15:37.169	18m 22s	15m 24s	714.8%	648.2 GB	1.3 TB	4.1 GB	4.2 GB
11	0d/eddd90	11346852	postprocessing (postprocessing)	COMPLETED	0	2026-04-03 01:15:36.982	18m 47s	16m	652.8%	454.1 GB	1.1 TB	3 GB	3.1 GB
15	ba/b3f076	11347047	curation (curation)	COMPLETED	0	2026-04-03 01:31:49.115	3m 5s	54.1s	21.6%	2.8 GB	6.6 GB	623.6 MB	259.4 KB
13	e6/477e8e	11346853	postprocessing (postprocessing)	COMPLETED	0	2026-04-03 01:15:37.081	19m 22s	15m 47s	731.9%	561.5 GB	1.2 TB	3.7 GB	3.9 GB
17	30/e6ee2d	11347126	curation (curation)	COMPLETED	0	2026-04-03 01:34:24.229	4m 5s	1m 6s	17.7%	3 GB	6.9 GB	631.7 MB	259.6 KB
18	01/c7a82e	11347154	curation (curation)	COMPLETED	0	2026-04-03 01:34:59.070	4m 5s	1m 38s	26.5%	3.7 GB	7.5 GB	744.9 MB	260.5 KB
16	62/aa70ea	11347116	curation (curation)	FAILED	-	2026-04-03 01:33:59.083	6h 7m 55s	6h 4m	-	-	-	-	-
