task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	4e/a61da7	8845274	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-05 20:25:15.267	34.3s	4.1s	33.0%	58.5 MB	377.8 MB	18 MB	508.4 KB
2	41/58ff56	8845301	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-05 20:25:49.998	1m 10s	37.9s	2394.2%	5.3 GB	68.9 GB	7 GB	13.9 MB
3	6e/4ea36e	8845300	preprocessing (preprocessing)	COMPLETED	0	2026-02-05 20:25:49.899	4m 50s	4m 12s	411.8%	57.1 GB	347.5 GB	9.1 GB	183 MB
4	54/1002ed	8845388	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-05 20:30:39.819	1m 35s	30.2s	282.8%	2 GB	18.6 GB	69.1 MB	14.6 MB
5	10/18fd7f	8845428	postprocessing (postprocessing)	COMPLETED	0	2026-02-05 20:32:14.772	1m 35s	43.8s	383.3%	48.8 GB	336.9 GB	613.7 MB	298.1 MB
6	35/05384f	8845446	curation (curation)	COMPLETED	0	2026-02-05 20:33:49.730	1m 5s	16.6s	37.9%	954.9 MB	4.9 GB	223.5 MB	251 KB
7	2d/a4dcbb	8845483	visualization (visualization)	COMPLETED	0	2026-02-05 20:34:54.748	25s	15.1s	58.3%	619.1 MB	1.3 GB	608.7 MB	3.1 MB
8	6a/99d150	8845490	results_collector (result-collector)	COMPLETED	0	2026-02-05 20:35:19.866	59.8s	5.9s	60.3%	262.3 MB	914.3 MB	150.1 MB	113.9 MB
10	48/4c2beb	8845503	quality_control (quality-control)	COMPLETED	0	2026-02-05 20:36:19.881	59.8s	11.5s	91.5%	711.4 MB	3.3 GB	1.1 GB	3.2 MB
9	a9/e9ea1d	8845504	nwb_units (nwb-units)	COMPLETED	0	2026-02-05 20:36:19.982	59.7s	6.1s	34.8%	177.4 MB	553.3 MB	39.9 MB	4.4 MB
11	dc/f7c1d3	8845539	quality_control_collector (qc-collector)	COMPLETED	0	2026-02-05 20:37:19.831	34.8s	2.3s	77.9%	122.6 MB	441.8 MB	10.7 MB	2.7 MB
