task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f8/6adc12	9708111	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-26 11:50:39.369	1m 9s	22.3s	84.8%	4.2 GB	4.6 GB	21.3 MB	2.3 MB
3	dc/6d5ab3	9708143	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 11:51:49.137	7m 5s	5m 2s	1144.6%	9.9 GB	16.2 GB	215.6 GB	33.2 GB
2	6a/79eb58	9708145	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 11:51:49.335	12m 4s	3m 27s	1713.9%	9.9 GB	16.2 GB	216.5 GB	32.9 GB
4	2f/f5d731	9708146	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 11:51:49.425	16m 4s	3m 29s	1688.5%	9.9 GB	16.2 GB	216.8 GB	32.9 GB
7	93/76fc90	9708147	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 11:51:49.513	21m 14s	5m	1209.4%	9.9 GB	16.2 GB	212.7 GB	33.2 GB
8	86/7e488a	9708148	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 11:51:49.614	24m 4s	3m 23s	1738.9%	9.9 GB	16.2 GB	214.4 GB	33.2 GB
11	76/afb9c6	9708473	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 11:58:53.906	21m 10s	18m 4s	525.8%	37.7 GB	57.9 GB	185.4 MB	943.6 MB
6	de/636ebc	9708149	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 11:51:49.697	28m 34s	3m 26s	1736.7%	9.9 GB	16.2 GB	215.8 GB	33.2 GB
12	89/4be4d3	9708668	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 12:03:53.837	19m 25s	18m 35s	543.9%	37.3 GB	58.2 GB	184.4 MB	935.7 MB
10	7a/7a7e79	9708150	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 11:51:49.822	33m 9s	3m 55s	1540.3%	9.9 GB	16.2 GB	215.4 GB	33.2 GB
9	08/d4b3f2	9708151	preprocessing (preprocessing)	COMPLETED	0	2026-02-26 11:51:49.941	36m 19s	3m 7s	1922.5%	9.9 GB	16.2 GB	216.2 GB	33.2 GB
14	7d/f40b6d	9709150	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 12:13:03.876	31m 30s	20m 10s	587.7%	37.6 GB	58.3 GB	199.8 MB	1 GB
13	84/686869	9708822	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 12:07:53.908	42m 50s	29m 55s	666.8%	37.3 GB	61.1 GB	180.6 MB	903.7 MB
5	e2/cae636	9708144	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-26 11:51:49.247	1h 1m 5s	58m 43s	1266.2%	11.9 GB	50 GB	3.3 TB	4.6 GB
16	05/8af78a	9709708	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 12:20:23.984	1h 4m 20s	32m 21s	86.3%	36.1 GB	52.2 GB	132.4 MB	505.3 MB
15	95/c53fef	9709367	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-26 12:15:53.844	1h 21m 45s	50m 58s	298.0%	39.8 GB	61.2 GB	249.7 MB	1.4 GB
