task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a1/ff0b0d	9781725	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-27 10:59:53.074	15m 4s	13m 51s	97.2%	4.2 GB	4.6 GB	21.3 MB	2.3 MB
3	d6/3f0089	9782230	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 11:14:58.456	6m 9s	5m 2s	1106.6%	9.9 GB	16.2 GB	216.5 GB	32.9 GB
4	69/52ac3f	9782231	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 11:14:58.543	10m 4s	3m 21s	1684.5%	9.9 GB	16.2 GB	215.6 GB	33.2 GB
5	8a/98f595	9782232	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 11:14:58.621	17m 19s	6m 24s	1312.8%	9.9 GB	16.2 GB	216.8 GB	32.9 GB
6	fd/32046a	9782233	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 11:14:58.697	21m 54s	4m 55s	1849.7%	9.8 GB	16.2 GB	215.8 GB	33.2 GB
11	6f/c86ecc	9782451	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 11:21:07.864	19m 55s	18m 58s	527.3%	37.3 GB	58.3 GB	184.1 MB	933.1 MB
7	d9/e4b5f4	9782234	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 11:14:58.776	27m 29s	5m 45s	1732.0%	9.8 GB	16.2 GB	212.7 GB	33.2 GB
12	3b/bfc525	9782582	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 11:25:02.532	18m 1s	17m 53s	531.3%	37.7 GB	57.9 GB	185.2 MB	941.8 MB
8	c1/db7f88	9782235	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 11:14:59.865	33m 28s	5m 22s	1778.5%	9.8 GB	16.2 GB	214.4 GB	33.2 GB
9	f6/d6c718	9782236	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 11:15:01.538	40m 27s	6m 33s	1326.8%	9.8 GB	16.2 GB	216.2 GB	33.2 GB
10	5c/60f06f	9782238	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 11:15:01.618	46m 2s	5m 27s	1032.9%	9.9 GB	16.2 GB	215.4 GB	33.2 GB
13	6d/7d967e	9783329	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 11:32:18.284	44m 10s	30m 52s	649.9%	37.4 GB	65.2 GB	181.9 MB	914.2 MB
2	79/28bdba	9782228	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-27 11:14:58.357	1h 6m 55s	1h 5m 30s	1400.3%	12 GB	50.1 GB	3.3 TB	4.6 GB
14	aa/62efeb	9783538	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 11:36:53.230	53m 45s	11m 7s	253.9%	36.2 GB	52.2 GB	133.3 MB	512.5 MB
15	e7/6f2fa7	9783729	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 11:42:28.744	58m 15s	21m 13s	585.5%	37.6 GB	58.3 GB	199.7 MB	1 GB
16	98/b7038c	9783939	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 11:48:28.286	1h 9m 5s	24m 8s	636.6%	39.6 GB	61 GB	249.4 MB	1.4 GB
17	32/ead3b4	9784210	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 11:55:28.281	1h 34m 30s	46m 9s	513.3%	40.4 GB	68.4 GB	246.3 MB	1.4 GB
18	e5/541a6c	9784540	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 12:01:03.373	1h 36m 35s	32m 51s	459.7%	39.7 GB	62 GB	217.1 MB	1.2 GB
22	9b/361e32	9789510	postprocessing (postprocessing)	COMPLETED	0	2026-02-27 13:37:39.295	6m 14s	5m 53s	406.1%	26.3 GB	76.2 GB	1.6 GB	1.8 GB
21	e5/c2b83b	9789509	postprocessing (postprocessing)	COMPLETED	0	2026-02-27 13:37:39.179	7m 14s	6m 43s	366.9%	35.1 GB	86.6 GB	2.1 GB	2.4 GB
20	84/9fea5a	9789508	postprocessing (postprocessing)	COMPLETED	0	2026-02-27 13:37:39.080	10m 9s	9m 34s	678.3%	45.1 GB	98.2 GB	2.7 GB	3.1 GB
27	b1/c3a9fb	9789755	curation (curation)	COMPLETED	0	2026-02-27 13:43:53.761	4m 40s	45.6s	16.2%	774 MB	2.6 GB	434.2 MB	249.5 KB
29	5c/8b3ab3	9789947	curation (curation)	COMPLETED	0	2026-02-27 13:47:48.577	2m 35s	1m 34s	49.9%	2.7 GB	3.8 GB	618.7 MB	251.1 KB
19	dd/b33a16	9789511	postprocessing (postprocessing)	FAILED	-	2026-02-27 13:37:39.378	13m 19s	7m 5s	-	-	-	-	-
23	45/eaeee7	9789512	postprocessing (postprocessing)	ABORTED	-	2026-02-27 13:37:39.465	-	-	-	-	-	-	-
25	c6/6c78c9	9789513	postprocessing (postprocessing)	ABORTED	-	2026-02-27 13:37:39.549	-	-	-	-	-	-	-
24	59/77c65d	9789514	postprocessing (postprocessing)	ABORTED	-	2026-02-27 13:37:39.636	-	-	-	-	-	-	-
26	0a/1a2df8	9789515	postprocessing (postprocessing)	ABORTED	-	2026-02-27 13:37:39.718	-	-	-	-	-	-	-
28	a1/24c470	9789771	curation (curation)	ABORTED	-	2026-02-27 13:44:53.711	-	-	-	-	-	-	-
