task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f0/9cc7ca	12167565	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-18 12:34:55.343	2m 34s	1m 26s	10.4%	1 GB	2.1 GB	38.8 MB	1.1 MB
2	f5/a3d048	12167637	preprocessing (preprocessing)	COMPLETED	0	2026-04-18 12:37:30.319	1h 52m 46s	1h 51m 38s	2352.7%	57.2 GB	166.8 GB	83.9 GB	60.6 GB
6	76/1133a9	12172429	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-18 14:30:16.305	1h 32m 18s	1h 28m 35s	234.2%	63.7 GB	93.8 GB	518.6 MB	3.6 GB
3	06/997409	12167638	preprocessing (preprocessing)	COMPLETED	0	2026-04-18 12:37:30.450	3h 44m 39s	1h 51m 16s	2372.5%	55.6 GB	165.6 GB	84.6 GB	81 GB
7	4e/6b2551	12175614	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-18 16:22:09.871	1h 18m 45s	1h 17m 44s	198.6%	63.7 GB	111.1 GB	502.2 MB	3.5 GB
4	ca/291d23	12167640	preprocessing (preprocessing)	COMPLETED	0	2026-04-18 12:37:30.632	5h 22m 44s	1h 37m 52s	2403.4%	56.8 GB	166.3 GB	83.7 GB	55.7 GB
8	dd/908c0f	12178846	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-18 18:00:15.063	1h 23m 5s	1h 20m 23s	284.7%	63.7 GB	88.5 GB	591.9 MB	4.2 GB
11	ce/290f98	12182254	postprocessing (postprocessing)	FAILED	1	2026-04-18 19:23:20.446	10m 55s	9m 20s	-	-	-	-	-
5	48/963a5e	12167639	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-04-18 12:37:30.541	-	-	-	-	-	-	-
10	6e/b36cd7	12182252	postprocessing (postprocessing)	ABORTED	-	2026-04-18 19:23:20.244	-	-	-	-	-	-	-
9	f3/0c6677	12182253	postprocessing (postprocessing)	ABORTED	-	2026-04-18 19:23:20.363	-	-	-	-	-	-	-
