task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	64/aa70c8	12202362	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-19 18:17:19.208	1m 9s	3.9s	43.5%	69.9 MB	395 MB	29.9 MB	589.6 KB
3	04/7b694d	12202471	preprocessing (preprocessing)	COMPLETED	0	2026-04-19 18:18:29.023	1m 35s	55.4s	905.8%	4.6 GB	26.3 GB	13.2 GB	1.5 GB
2	6c/eea884	12202472	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-19 18:18:29.151	1m 34s	27.2s	1011.9%	4.4 GB	42.5 GB	17.5 GB	57.2 MB
4	b3/cde2df	12202491	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-19 18:20:03.781	1m 10s	38.2s	129.4%	2.9 GB	16.6 GB	70.5 MB	11.6 MB
5	10/aea79e	12202504	postprocessing (postprocessing)	COMPLETED	0	2026-04-19 18:21:13.790	1m 35s	23.9s	186.7%	535.2 MB	2.9 GB	139.2 MB	54 MB
6	58/8de784	12202598	curation (curation)	COMPLETED	0	2026-04-19 18:22:48.704	2m 30s	7s	63.0%	335.5 MB	1.4 GB	123.7 MB	261.9 KB
7	6d/451a49	12202686	visualization (visualization)	COMPLETED	0	2026-04-19 18:25:18.832	3m 35s	11.8s	90.5%	2.5 GB	3.3 GB	1.1 GB	3.4 MB
8	9e/6fe925	12202802	results_collector (result-collector)	COMPLETED	0	2026-04-19 18:28:53.757	2m 30s	7.5s	40.1%	226 MB	877.3 MB	74.6 MB	22.8 MB
9	24/6aa634	12202869	nwb_units (nwb-units)	COMPLETED	0	2026-04-19 18:31:23.893	59.8s	4.1s	61.8%	186 MB	590.3 MB	68.5 MB	20 MB
10	09/f4934e	12202870	quality_control (quality-control)	COMPLETED	0	2026-04-19 18:31:24.063	1m 35s	13.8s	72.7%	727.3 MB	3.1 GB	976 MB	4.4 MB
11	b9/65734e	12202878	quality_control_collector (qc-collector)	COMPLETED	0	2026-04-19 18:32:58.746	34.9s	1.9s	40.1%	27.9 MB	343.2 MB	9.3 MB	1.3 MB
