task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	10/b44e95	12133212	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-17 19:36:24.760	2m 44s	1m 43s	52.5%	1.3 GB	1.6 GB	29.9 MB	589.6 KB
3	bf/5c07b1	12133512	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-17 19:39:09.691	1m 39s	1m 24s	340.7%	4.5 GB	42.6 GB	20.5 GB	62 MB
2	a1/5ee14a	12133511	preprocessing (preprocessing)	COMPLETED	0	2026-04-17 19:39:09.510	4m 10s	3m 51s	747.5%	13.6 GB	123.8 GB	15.4 GB	1.7 GB
4	97/1c2c3d	12133932	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-17 19:43:19.565	6m 15s	5m	231.6%	3.5 GB	23.3 GB	100.2 MB	241.8 MB
5	94/9c6538	12134337	postprocessing (postprocessing)	COMPLETED	0	2026-04-17 19:49:35.251	4m 4s	2m 20s	73.4%	8.9 GB	51.9 GB	293.1 MB	260.7 MB
6	7a/e186d5	12134526	curation (curation)	COMPLETED	0	2026-04-17 19:53:39.528	3m 5s	1m 48s	5.0%	481.4 MB	1.7 GB	175.1 MB	263 KB
7	41/0fdea5	12134606	visualization (visualization)	COMPLETED	0	2026-04-17 19:56:44.527	2m 35s	1m 1s	18.4%	1.8 GB	2.8 GB	1.1 GB	4.8 MB
8	d0/663ab1	12134627	results_collector (result-collector)	COMPLETED	0	2026-04-17 19:59:19.545	1m 5s	9.4s	32.7%	251.6 MB	1.5 GB	185.1 MB	148.4 MB
9	eb/4cb4a9	12134690	quality_control (quality-control)	COMPLETED	0	2026-04-17 20:00:24.395	2m 5s	40.2s	23.8%	778 MB	3.1 GB	1 GB	5.9 MB
10	3f/b70b73	12134691	nwb_units (nwb-units)	COMPLETED	0	2026-04-17 20:00:24.532	2m 10s	1m 4s	6.4%	337.5 MB	1.1 GB	91.4 MB	29.6 MB
11	98/4373f4	12134736	quality_control_collector (qc-collector)	COMPLETED	0	2026-04-17 20:02:29.376	1m 5s	13.4s	3.7%	47.8 MB	368.3 MB	10.8 MB	2.8 MB
