task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	78/a04a40	12186948	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-18 22:04:31.668	1m 10s	10.3s	62.7%	1.3 GB	1.6 GB	29.9 MB	589.6 KB
2	2d/e6bfce	12187016	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-18 22:05:41.688	1m 34s	32.4s	1028.4%	4.5 GB	42.6 GB	19.1 GB	60.9 MB
3	6c/4f1063	12187015	preprocessing (preprocessing)	COMPLETED	0	2026-04-18 22:05:41.554	3m 5s	1m 37s	2755.1%	5.8 GB	13.5 GB	14.3 GB	1.7 GB
4	cd/6fef0c	12187044	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-18 22:08:46.308	4m 5s	51.2s	364.0%	3.2 GB	22.7 GB	82.2 MB	93.5 MB
5	39/87693d	12187188	postprocessing (postprocessing)	COMPLETED	0	2026-04-18 22:12:51.282	1m 5s	29.3s	225.9%	1 GB	3.1 GB	179.6 MB	101.5 MB
6	97/381cb7	12187197	curation (curation)	COMPLETED	0	2026-04-18 22:13:56.250	34.9s	10.3s	44.2%	377.7 MB	1.4 GB	131.4 MB	261.9 KB
7	64/0c77fc	12187259	visualization (visualization)	COMPLETED	0	2026-04-18 22:14:31.279	1m 35s	27.3s	40.3%	2.7 GB	3.5 GB	1.1 GB	3.3 MB
8	3d/231eed	12187457	results_collector (result-collector)	COMPLETED	0	2026-04-18 22:16:06.299	34.8s	6.6s	46.5%	269.8 MB	921.1 MB	98.1 MB	51.8 MB
9	d1/66fa06	12187467	quality_control (quality-control)	COMPLETED	0	2026-04-18 22:16:41.364	1m 20s	9.7s	128.4%	763.3 MB	3.1 GB	1010.9 MB	4.6 MB
10	3f/8db3c9	12187468	nwb_units (nwb-units)	COMPLETED	0	2026-04-18 22:16:41.458	1m 20s	7.4s	38.1%	231.8 MB	636.2 MB	76.9 MB	23.4 MB
11	8b/416c25	12187497	quality_control_collector (qc-collector)	COMPLETED	0	2026-04-18 22:18:01.355	34.8s	2.8s	27.5%	47.9 MB	368.3 MB	9.5 MB	1.5 MB
