task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	09/9c6101	8834733	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-05 15:42:25.538	1m 4s	4.2s	35.9%	49.1 MB	367.9 MB	18 MB	508.2 KB
2	0f/400d8f	8834770	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-05 15:43:30.262	1m 35s	29.8s	2410.9%	10.2 GB	113.7 GB	6.6 GB	13.6 MB
3	6d/608ccc	8834771	preprocessing (preprocessing)	COMPLETED	0	2026-02-05 15:43:30.361	7m 25s	6m 12s	331.2%	85.1 GB	511 GB	11 GB	267 MB
4	ae/623b1c	8834899	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-05 15:50:55.163	1m 5s	34s	249.7%	2.1 GB	18.6 GB	69.1 MB	14.6 MB
5	61/87f1ae	8834935	postprocessing (postprocessing)	COMPLETED	0	2026-02-05 15:52:00.059	1m 5s	37.6s	334.5%	5.6 GB	36 GB	613.7 MB	298.3 MB
6	c7/6f066c	8834939	curation (curation)	COMPLETED	0	2026-02-05 15:53:05.066	34.9s	21.4s	35.5%	955.9 MB	5 GB	224.1 MB	251 KB
7	45/c24a08	8834942	visualization (visualization)	COMPLETED	0	2026-02-05 15:53:40.083	1m 5s	17s	50.2%	913.2 MB	1.6 GB	608.7 MB	3.1 MB
8	a0/a1cf20	8834965	results_collector (result-collector)	COMPLETED	0	2026-02-05 15:54:45.078	34.9s	9.9s	33.4%	269.1 MB	918.8 MB	150.3 MB	114.1 MB
9	d6/fcdb8a	8834987	quality_control (quality-control)	COMPLETED	0	2026-02-05 15:55:20.223	1m 35s	21.4s	58.1%	713.8 MB	3.8 GB	1.1 GB	3.2 MB
10	f6/c68615	8834986	nwb_units (nwb-units)	COMPLETED	0	2026-02-05 15:55:20.127	1m 35s	11.8s	19.1%	184 MB	563 MB	39.9 MB	4.4 MB
11	41/3d52bc	8835010	quality_control_collector (qc-collector)	COMPLETED	0	2026-02-05 15:56:55.083	34.9s	1.8s	88.9%	83 MB	401.3 MB	10.7 MB	2.7 MB
