task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2b/f79e45	9791623	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-27 14:27:15.160	1m 4s	6.8s	53.2%	4.2 GB	4.5 GB	20 MB	2.3 MB
3	8b/9d7164	9791655	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 14:28:19.888	8m 4s	6m 58s	1108.5%	68.7 GB	105.5 GB	220.5 GB	45.7 MB
4	af/1c650e	9791656	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 14:28:20.068	22m 4s	13m 35s	1050.6%	135.8 GB	209.7 GB	224.5 GB	84.5 MB
11	e6/2312d7	9792060	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 14:36:43.609	14m 1s	10m 19s	220.6%	36.6 GB	51.8 GB	139.3 MB	581.1 MB
2	44/ddb578	9791668	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-27 14:28:22.252	30m 27s	29m 29s	1548.8%	100.8 GB	952.7 GB	1.6 TB	2.4 GB
6	d3/f41460	9791657	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 14:28:20.218	36m 14s	13m 24s	941.1%	136.7 GB	209.9 GB	224.7 GB	84.5 MB
12	ce/3a682e	9792858	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 14:50:24.666	23m 15s	19m 12s	496.0%	37.7 GB	57.9 GB	183.3 MB	942.6 MB
7	45/590a1c	9791659	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 14:28:20.346	48m 9s	11m 45s	1065.2%	136.7 GB	209.4 GB	221.6 GB	84.5 MB
13	74/447472	9793615	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-27 15:04:34.626	16m 10s	12m 20s	227.4%	36.2 GB	52.2 GB	130.6 MB	507.1 MB
8	f1/b24127	9791660	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 14:28:20.462	59m 19s	10m 26s	1073.6%	136.2 GB	209.1 GB	223.3 GB	84.5 MB
5	38/ca9721	9791661	preprocessing (preprocessing)	COMPLETED	0	2026-02-27 14:28:20.606	1h 7m 34s	8m 4s	1590.4%	68.3 GB	105.5 GB	220.8 GB	45.7 MB
