task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e1/b1fec8	9015490	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-09 17:32:09.509	1m 4s	10.1s	21.1%	1.3 GB	1.6 GB	18.9 MB	610.1 KB
2	b9/a92c15	9015555	preprocessing (preprocessing)	COMPLETED	0	2026-02-09 17:33:14.151	44m 25s	42m 42s	1344.8%	267.7 GB	358.1 GB	188.9 GB	123.7 MB
3	63/cb36e2	9015554	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-09 17:33:14.071	48m 30s	47m 2s	214.9%	72.1 GB	513.7 GB	184.9 GB	621.2 MB
4	b0/b586c1	9018576	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-09 18:17:39.146	1h 35m 20s	1h 33m 45s	310.8%	63.7 GB	147.2 GB	683.9 MB	5 GB
5	f2/e6c2d4	9023241	postprocessing (postprocessing)	COMPLETED	0	2026-02-09 19:52:59.205	33m 15s	33m 3s	409.7%	1.1 TB	5.3 TB	5.8 GB	7 GB
6	c2/b45538	9024607	curation (curation)	COMPLETED	0	2026-02-09 20:26:14.241	1m 35s	55.3s	54.2%	6.3 GB	10.2 GB	1.4 GB	259.1 KB
7	49/681bb9	9024649	visualization (visualization)	COMPLETED	0	2026-02-09 20:27:49.251	10m 5s	9m 29s	18.9%	11.8 GB	13 GB	3 GB	15.5 MB
8	8e/b4910c	9025152	results_collector (result-collector)	COMPLETED	0	2026-02-09 20:37:54.251	2m 5s	1m 2s	40.7%	2.8 GB	3.8 GB	2.2 GB	2.5 GB
10	a0/1144be	9025250	nwb_units (nwb-units)	COMPLETED	0	2026-02-09 20:39:59.267	2m 5s	1m 2s	79.4%	2.9 GB	3.7 GB	1 GB	1 GB
9	1d/350545	9025251	quality_control (quality-control)	COMPLETED	0	2026-02-09 20:39:59.352	3m 45s	2m 58s	24.3%	6.1 GB	8.9 GB	2.6 GB	7.1 MB
11	12/ec2192	9025434	quality_control_collector (qc-collector)	COMPLETED	0	2026-02-09 20:43:44.233	34.9s	1.7s	102.4%	86.1 MB	404.2 MB	14.6 MB	6.6 MB
